plain_conf,dataset,accuracy,error,precision,recall,f1
"naivebayes_features=0,3,4,5","'SibSp', 'Embarked', 'passenger_class', 'passenger_sex'",0.8100558659217877,0.1899441340782123,0.75,0.8289473684210527,0.7875
"naivebayes_features=0,4,5","'SibSp', 'passenger_class', 'passenger_sex'",0.8156424581005587,0.1843575418994413,0.7866666666666666,0.7763157894736842,0.7814569536423841
"naivebayes_features=0,5","'SibSp', 'passenger_sex'",0.7988826815642458,0.2011173184357542,0.7941176470588235,0.7105263157894737,0.7499999999999999
"naivebayes_features=0,4,5","'SibSp', 'passenger_class', 'passenger_sex'",0.8156424581005587,0.1843575418994413,0.7866666666666666,0.7763157894736842,0.7814569536423841
lg_batchsize=60_epochs=20_regfactor=0.001_verbose=2_lr=0.005,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.5977653631284916,0.4022346368715084,0.515625,0.8684210526315791,0.6470588235294118
lg_batchsize=60_epochs=20_regfactor=0.001_verbose=100_lr=0.005,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.6536312849162011,0.34636871508379885,0.5583333333333333,0.8815789473684209,0.6836734693877551
lg_batchsize=60_epochs=20_regfactor=0.001_verbose=100_lr=0.005,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.4245810055865922,0.5754189944134078,0.40425531914893614,0.75,0.5253456221198156
lg_batchsize=32_epochs=50_regfactor=0.001_verbose=100_lr=0.005,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.5754189944134078,0.4245810055865922,0.5,0.34210526315789475,0.4062500000000001
lg_batchsize=32_epochs=50_regfactor=0.01_verbose=100_lr=0.005,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7150837988826816,0.2849162011173184,0.7358490566037735,0.5131578947368421,0.6046511627906977
lg_batchsize=32_epochs=50_regfactor=0.001_verbose=100_lr=0.05,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.6424581005586593,0.35754189944134074,0.9285714285714286,0.17105263157894735,0.2888888888888889
lg_batchsize=32_epochs=50_regfactor=0.001_verbose=100_lr=0.01,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.6424581005586593,0.35754189944134074,0.6428571428571429,0.35526315789473684,0.4576271186440678
lg_batchsize=32_epochs=150_regfactor=0.001_verbose=100_lr=0.01,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8156424581005587,0.1843575418994413,0.8412698412698413,0.6973684210526315,0.7625899280575539
lg_batchsize=32_epochs=150_regfactor=0.001_verbose=100_lr=0.001,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.6368715083798883,0.3631284916201117,0.5932203389830508,0.4605263157894737,0.5185185185185185
lg_batchsize=32_epochs=350_regfactor=0.001_verbose=100_lr=0.001,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7877094972067039,0.2122905027932961,0.7794117647058824,0.6973684210526315,0.7361111111111112
lg_batchsize=32_epochs=500_regfactor=0.001_verbose=100_lr=0.001,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.770949720670391,0.2290502793296089,0.7692307692307693,0.6578947368421053,0.7092198581560285
lg_batchsize=64_epochs=500_regfactor=0.001_verbose=1000_lr=0.001,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.5698324022346368,0.4301675977653632,0.4857142857142857,0.2236842105263158,0.3063063063063063
lg_batchsize=16_epochs=500_regfactor=0.001_verbose=1000_lr=0.001,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7262569832402235,0.2737430167597765,0.8292682926829268,0.4473684210526316,0.5811965811965812
lg_batchsize=16_epochs=500_regfactor=0.001_verbose=1000_lr=0.01,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.770949720670391,0.2290502793296089,0.7272727272727273,0.7368421052631579,0.7320261437908497
lg_batchsize=32_epochs=500_regfactor=0.001_verbose=1000_lr=0.005,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8156424581005587,0.1843575418994413,0.8208955223880597,0.7236842105263158,0.7692307692307693
lg_batchsize=32_epochs=500_regfactor=0.001_verbose=1000_lr=0.0005,"'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.5474860335195529,0.4525139664804471,0.4509803921568628,0.3026315789473684,0.3622047244094488
"lg_batchsize=32_epochs=500_regfactor=0.001_verbose=1000_lr=0.0005_features=0,1,2,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.6033519553072626,0.3966480446927374,0.5581395348837209,0.3157894736842105,0.4033613445378151
"lg_batchsize=32_epochs=500_regfactor=0.001_verbose=1000_lr=0.001_features=0,2,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7150837988826816,0.2849162011173184,0.7118644067796609,0.5526315789473685,0.6222222222222223
"lg_batchsize=32_epochs=500_regfactor=0.001_verbose=1000_lr=0.001_features=0,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8156424581005587,0.1843575418994413,0.8644067796610171,0.6710526315789473,0.7555555555555556
"lg_batchsize=32_epochs=500_regfactor=0.001_verbose=1000_lr=0.001_features=0,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.5977653631284916,0.4022346368715084,0.5294117647058824,0.4736842105263158,0.5
"lg_batchsize=32_epochs=500_regfactor=0.001_verbose=1000_lr=0.001_features=0,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.7988826815642458,0.2011173184357542,0.7941176470588235,0.7105263157894737,0.7499999999999999
"lg_batchsize=32_epochs=600_regfactor=0.001_verbose=1000_lr=0.001_features=0,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8044692737430168,0.1955307262569832,0.8253968253968254,0.6842105263157895,0.7482014388489208
"lg_batchsize=32_epochs=700_regfactor=0.01_verbose=1000_lr=0.0001_features=0,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.6927374301675978,0.3072625698324022,0.5963302752293578,0.8552631578947368,0.7027027027027026
"lg_batchsize=32_epochs=700_regfactor=0.01_verbose=1000_lr=0.001_features=0,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8044692737430168,0.1955307262569832,0.8153846153846154,0.6973684210526315,0.7517730496453899
"lg_batchsize=32_epochs=800_regfactor=0.01_verbose=1000_lr=0.001_features=0,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8100558659217877,0.1899441340782123,0.8181818181818182,0.7105263157894737,0.7605633802816901
"lg_batchsize=32_epochs=900_regfactor=0.01_verbose=1000_lr=0.001_features=0,3,4,5","'SibSp', 'Parch', 'Fare', 'Embarked', 'passenger_class', 'passenger_sex'",0.8100558659217877,0.1899441340782123,0.8181818181818182,0.7105263157894737,0.7605633802816901
